object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,4660.267,4713.368,97.885,52.086,True,True,True,65536,sequential,15,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,623.348,4937.765,4889.866,4769.307,True,True,True,65536,sequential,16,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4984.344,5038.725,99.189,53.316,True,True,True,65536,sequential,16,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1134,5083.579,5138.253,99.327,53.65,True,True,True,65536,sequential,16,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5183.249,5236.494,98.029,52.204,True,True,True,65536,sequential,16,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,5281.488,5334.675,97.96,52.182,True,True,True,65536,sequential,16,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,648.46,3796.52,3748.18,3634.634,True,True,True,65536,multiplexed,16,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,162.902,360.048,252.667,165.813,True,True,True,65536,multiplexed,16,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,164.047,374.261,264.435,184.93,True,True,True,65536,multiplexed,16,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,164.994,380.56,268.409,191.762,True,True,True,65536,multiplexed,16,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,205.126,375.403,261.191,179.533,True,True,True,65536,multiplexed,16,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,684.027,7011.468,6963.356,6850.099,True,True,True,65536,multiplexed,17,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,162.567,327.622,220.52,164.17,True,True,True,65536,multiplexed,17,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,163.591,378.89,269.298,200.793,True,True,True,65536,multiplexed,17,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,164.594,428.036,316.155,256.14,True,True,True,65536,multiplexed,17,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,204.972,377.806,263.877,195.146,True,True,True,65536,multiplexed,17,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1155,741.046,5650.558,5602.198,5488.08,True,True,True,65536,sequential,17,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,5696.951,5750.291,97.997,52.285,True,True,True,65536,sequential,17,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,5795.298,5848.603,98.095,52.375,True,True,True,65536,sequential,17,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,5893.524,5946.478,97.634,52.005,True,True,True,65536,sequential,17,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1135,5991.454,6044.517,97.833,52.12,True,True,True,65536,sequential,17,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,639.293,4747.43,4699.261,4586.442,True,True,True,65536,sequential,18,1
